"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "SCSS", "PHP", "comment", "blank", "total"
"c:\wamp64\www\student002\shop\backend\admin_pages\customers.php", "PHP", 0, 0, 0, 0, 0, 37, 1, 7, 45
"c:\wamp64\www\student002\shop\backend\admin_pages\orders.php", "PHP", 0, 0, 0, 0, 0, 38, 1, 8, 47
"c:\wamp64\www\student002\shop\backend\admin_pages\products.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\wamp64\www\student002\shop\backend\config\db_connection.php", "PHP", 0, 0, 0, 0, 0, 11, 2, 4, 17
"c:\wamp64\www\student002\shop\backend\customer_pages\my_orders.php", "PHP", 0, 0, 0, 0, 0, 48, 1, 8, 57
"c:\wamp64\www\student002\shop\backend\customer_pages\my_orders_reviews.php", "PHP", 0, 0, 0, 0, 0, 81, 2, 11, 94
"c:\wamp64\www\student002\shop\backend\customer_pages\my_reviews.php", "PHP", 0, 0, 0, 0, 0, 146, 7, 27, 180
"c:\wamp64\www\student002\shop\backend\customer_pages\myprofile.php", "PHP", 0, 0, 0, 0, 0, 88, 3, 18, 109
"c:\wamp64\www\student002\shop\backend\customer_pages\myprofile_addresses.php", "PHP", 0, 0, 0, 0, 0, 93, 0, 16, 109
"c:\wamp64\www\student002\shop\backend\customer_pages\myprofile_orders.php", "PHP", 0, 0, 0, 0, 0, 45, 2, 5, 52
"c:\wamp64\www\student002\shop\backend\customer_pages\myprofile_reviews.php", "PHP", 0, 0, 0, 0, 0, 38, 1, 5, 44
"c:\wamp64\www\student002\shop\backend\db\addresses\db_addresses_delete.php", "PHP", 0, 0, 0, 0, 0, 17, 1, 5, 23
"c:\wamp64\www\student002\shop\backend\db\addresses\db_addresses_insert.php", "PHP", 0, 0, 0, 0, 0, 23, 1, 4, 28
"c:\wamp64\www\student002\shop\backend\db\addresses\db_addresses_update.php", "PHP", 0, 0, 0, 0, 0, 28, 1, 6, 35
"c:\wamp64\www\student002\shop\backend\db\customers\db_customer_delete.php", "PHP", 0, 0, 0, 0, 0, 13, 1, 7, 21
"c:\wamp64\www\student002\shop\backend\db\customers\db_customer_update.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 2, 24
"c:\wamp64\www\student002\shop\backend\db\db_checkout.php", "PHP", 0, 0, 0, 0, 0, 58, 6, 15, 79
"c:\wamp64\www\student002\shop\backend\db\db_login.php", "PHP", 0, 0, 0, 0, 0, 21, 2, 4, 27
"c:\wamp64\www\student002\shop\backend\db\db_logout.php", "PHP", 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\wamp64\www\student002\shop\backend\db\db_register.php", "PHP", 0, 0, 0, 0, 0, 19, 1, 8, 28
"c:\wamp64\www\student002\shop\backend\db\db_shop_cart.php", "PHP", 0, 0, 0, 0, 0, 54, 5, 12, 71
"c:\wamp64\www\student002\shop\backend\db\products\db_getproducts.php", "PHP", 0, 0, 0, 0, 0, 5, 1, 1, 7
"c:\wamp64\www\student002\shop\backend\db\products\db_insert_image.php", "PHP", 0, 0, 0, 0, 0, 22, 0, 4, 26
"c:\wamp64\www\student002\shop\backend\db\products\db_product_delete.php", "PHP", 0, 0, 0, 0, 0, 13, 1, 4, 18
"c:\wamp64\www\student002\shop\backend\db\products\db_product_insert.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 5, 19
"c:\wamp64\www\student002\shop\backend\db\products\db_product_select.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\wamp64\www\student002\shop\backend\db\products\db_product_update.php", "PHP", 0, 0, 0, 0, 0, 20, 2, 4, 26
"c:\wamp64\www\student002\shop\backend\db\reviews\db_reviews_insert.php", "PHP", 0, 0, 0, 0, 0, 21, 1, 7, 29
"c:\wamp64\www\student002\shop\backend\endpoints\getProductsFront.php", "PHP", 0, 0, 0, 0, 0, 22, 2, 6, 30
"c:\wamp64\www\student002\shop\backend\endpoints\getproducts.php", "PHP", 0, 0, 0, 0, 0, 25, 4, 5, 34
"c:\wamp64\www\student002\shop\backend\forms\customers\form_customer_delete.php", "PHP", 0, 0, 0, 0, 0, 33, 0, 6, 39
"c:\wamp64\www\student002\shop\backend\forms\customers\form_customer_delete_call.php", "PHP", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\wamp64\www\student002\shop\backend\forms\customers\form_customer_insert.php", "PHP", 0, 0, 0, 0, 0, 58, 0, 14, 72
"c:\wamp64\www\student002\shop\backend\forms\customers\form_customer_update.php", "PHP", 0, 0, 0, 0, 0, 57, 1, 16, 74
"c:\wamp64\www\student002\shop\backend\forms\customers\form_customer_update_call.php", "PHP", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\wamp64\www\student002\shop\backend\forms\products\form_add_to_cart.php", "PHP", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\wamp64\www\student002\shop\backend\forms\products\form_product_delete.php", "PHP", 0, 0, 0, 0, 0, 32, 0, 4, 36
"c:\wamp64\www\student002\shop\backend\forms\products\form_product_delete_call.php", "PHP", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\wamp64\www\student002\shop\backend\forms\products\form_product_insert.php", "PHP", 0, 0, 0, 0, 0, 47, 0, 9, 56
"c:\wamp64\www\student002\shop\backend\forms\products\form_product_insert_call.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\wamp64\www\student002\shop\backend\forms\products\form_product_select.php", "PHP", 0, 0, 0, 0, 0, 13, 0, 5, 18
"c:\wamp64\www\student002\shop\backend\forms\products\form_product_update.php", "PHP", 0, 0, 0, 0, 0, 42, 1, 11, 54
"c:\wamp64\www\student002\shop\backend\forms\products\form_product_update_call.php", "PHP", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\wamp64\www\student002\shop\backend\functions\product_functions.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 9, 32
"c:\wamp64\www\student002\shop\backend\includes\footer.php", "PHP", 0, 0, 0, 0, 0, 12, 0, 0, 12
"c:\wamp64\www\student002\shop\backend\includes\header.php", "PHP", 0, 0, 0, 0, 0, 59, 0, 13, 72
"c:\wamp64\www\student002\shop\backend\public\checkout.php", "PHP", 0, 0, 0, 0, 0, 150, 7, 21, 178
"c:\wamp64\www\student002\shop\backend\public\checkout_steps\checkout_step1.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\wamp64\www\student002\shop\backend\public\checkout_steps\checkout_step2.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\wamp64\www\student002\shop\backend\public\checkout_steps\checkout_step3.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\wamp64\www\student002\shop\backend\public\checkout_success.php", "PHP", 0, 0, 0, 0, 0, 16, 1, 5, 22
"c:\wamp64\www\student002\shop\backend\public\index.php", "PHP", 0, 0, 0, 0, 0, 5, 0, 4, 9
"c:\wamp64\www\student002\shop\backend\public\login.php", "PHP", 0, 0, 0, 0, 0, 46, 5, 12, 63
"c:\wamp64\www\student002\shop\backend\public\logout.php", "PHP", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\wamp64\www\student002\shop\backend\public\register.php", "PHP", 0, 0, 0, 0, 0, 72, 8, 18, 98
"c:\wamp64\www\student002\shop\backend\public\shopping_cart.php", "PHP", 0, 0, 0, 0, 0, 93, 4, 19, 116
"c:\wamp64\www\student002\shop\css\commons.css", "PostCSS", 0, 0, 0, 279, 0, 0, 10, 52, 341
"c:\wamp64\www\student002\shop\css\index.css", "PostCSS", 0, 0, 0, 47, 0, 0, 7, 16, 70
